repeat	outer_fold	n_train	events_train	n_test	events_test	train_indices_csv	test_indices_csv
3	0	68	23	18	6	0,1,2,3,5,6,8,10,11,12,13,14,15,17,18,19,20,21,22,28,29,32,33,34,35,36,37,38,39,40,41,42,43,44,46,47,48,50,51,52,53,54,55,57,58,60,61,62,63,64,65,66,67,68,69,70,73,74,75,76,77,78,79,80,81,82,84,85	4,7,9,16,23,24,25,26,27,30,31,45,49,56,59,71,72,83
3	1	69	24	17	5	0,1,2,3,4,5,6,7,8,9,10,11,13,14,16,18,21,22,23,24,25,26,27,28,29,30,31,32,34,36,39,40,41,42,44,45,46,47,48,49,51,52,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,78,79,80,83,85	12,15,17,19,20,33,35,37,38,43,50,53,76,77,81,82,84
3	2	69	23	17	6	0,2,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,35,36,37,38,40,43,44,45,46,47,49,50,51,53,54,55,56,57,58,59,60,63,64,65,69,70,71,72,75,76,77,78,79,80,81,82,83,84,85	1,3,14,29,34,39,41,42,48,52,61,62,66,67,68,73,74
3	3	69	23	17	6	0,1,2,3,4,7,9,12,13,14,15,16,17,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39,41,42,43,44,45,48,49,50,51,52,53,54,55,56,57,59,60,61,62,63,66,67,68,69,70,71,72,73,74,75,76,77,80,81,82,83,84	5,6,8,10,11,18,21,36,40,46,47,58,64,65,78,79,85
3	4	69	23	17	6	1,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,23,24,25,26,27,29,30,31,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50,52,53,56,58,59,61,62,64,65,66,67,68,71,72,73,74,76,77,78,79,81,82,83,84,85	0,2,13,22,28,32,44,51,54,55,57,60,63,69,70,75,80
4	0	68	23	18	6	0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,18,19,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,41,43,44,45,49,50,51,52,53,54,55,56,58,60,61,62,66,67,68,70,71,72,74,75,76,77,78,79,80,81,82,83,84,85	12,16,17,20,21,27,40,42,46,47,48,57,59,63,64,65,69,73
4	1	69	24	17	5	0,1,2,3,4,5,6,8,9,11,12,14,15,16,17,18,19,20,21,22,24,25,27,28,29,33,35,36,37,39,40,41,42,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,72,73,74,75,76,77,78,79,84,85	7,10,13,23,26,30,31,32,34,38,43,44,71,80,81,82,83
4	2	69	23	17	6	0,1,3,4,7,8,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,29,30,31,32,34,35,36,38,40,41,42,43,44,45,46,47,48,49,50,51,52,53,55,57,59,60,62,63,64,65,66,67,69,71,72,73,74,76,77,78,79,80,81,82,83,84	2,5,6,9,19,28,33,37,39,54,56,58,61,68,70,75,85
4	3	69	23	17	6	1,2,5,6,7,8,9,10,12,13,14,15,16,17,19,20,21,23,26,27,28,30,31,32,33,34,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,63,64,65,67,68,69,70,71,73,74,75,77,79,80,81,82,83,84,85	0,3,4,11,18,22,24,25,29,35,36,52,62,66,72,76,78
4	4	69	23	17	6	0,2,3,4,5,6,7,9,10,11,12,13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,46,47,48,52,54,56,57,58,59,61,62,63,64,65,66,68,69,70,71,72,73,75,76,78,80,81,82,83,85	1,8,14,15,41,45,49,50,51,53,55,60,67,74,77,79,84
5	0	68	23	18	6	0,1,2,3,4,5,7,10,11,12,13,14,15,16,17,18,21,22,23,25,26,27,28,29,30,31,32,34,35,37,39,40,41,42,43,45,47,48,49,50,51,53,54,55,56,57,59,60,61,62,63,64,65,66,68,69,70,71,72,73,75,76,77,80,81,82,83,85	6,8,9,19,20,24,33,36,38,44,46,52,58,67,74,78,79,84
5	1	69	24	17	5	1,2,3,4,5,6,8,9,10,12,13,14,15,16,17,19,20,21,22,24,25,27,29,30,31,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,52,55,56,57,58,60,61,62,63,64,67,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85	0,7,11,18,23,26,28,32,40,50,51,53,54,59,65,66,68
5	2	69	23	17	6	0,1,3,5,6,7,8,9,11,12,13,14,16,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,63,64,65,66,67,68,69,70,72,73,74,75,77,78,79,81,84,85	2,4,10,15,17,30,34,35,41,55,61,62,71,76,80,82,83
5	3	69	23	17	6	0,2,4,6,7,8,9,10,11,13,15,16,17,18,19,20,21,23,24,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,44,46,47,48,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,71,72,73,74,75,76,78,79,80,82,83,84,85	1,3,5,12,14,22,25,31,42,43,45,49,56,69,70,77,81
5	4	69	23	17	6	0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,17,18,19,20,22,23,24,25,26,28,30,31,32,33,34,35,36,38,40,41,42,43,44,45,46,49,50,51,52,53,54,55,56,58,59,61,62,65,66,67,68,69,70,71,74,76,77,78,79,80,81,82,83,84	13,16,21,27,29,37,39,47,48,57,60,63,64,72,73,75,85
6	0	68	23	18	6	0,2,3,4,8,10,11,13,14,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,48,49,50,51,52,53,54,55,56,58,59,60,62,63,65,68,69,70,71,73,74,75,76,77,79,80,81,82,83,84,85	1,5,6,7,9,12,15,16,20,41,47,57,61,64,66,67,72,78
6	1	69	24	17	5	1,2,3,4,5,6,7,8,9,10,11,12,15,16,17,19,20,21,23,24,25,26,27,28,30,31,32,34,38,39,40,41,44,46,47,48,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,79,81,82,83,85	0,13,14,18,22,29,33,35,36,37,42,43,45,49,73,80,84
6	2	69	23	17	6	0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,28,29,32,33,35,36,37,38,39,40,41,42,43,44,45,47,49,50,51,56,57,59,60,61,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,83,84,85	2,25,27,30,31,34,46,48,52,53,54,55,58,62,65,79,82
6	3	69	23	17	6	0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,18,20,22,23,24,25,26,27,29,30,31,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,51,52,53,54,55,56,57,58,61,62,64,65,66,67,71,72,73,76,77,78,79,80,81,82,83,84	8,17,19,21,28,32,40,50,59,60,63,68,69,70,74,75,85
6	4	69	23	17	6	0,1,2,5,6,7,8,9,12,13,14,15,16,17,18,19,20,21,22,25,27,28,29,30,31,32,33,34,35,36,37,40,41,42,43,45,46,47,48,49,50,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,72,73,74,75,78,79,80,82,84,85	3,4,10,11,23,24,26,38,39,44,51,56,71,76,77,81,83
7	0	68	23	18	6	0,1,2,3,4,5,6,7,9,10,11,12,14,15,16,17,18,20,21,23,24,25,26,29,30,31,32,33,34,36,37,41,42,43,46,47,48,49,50,51,52,53,54,55,57,58,59,60,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,79,80,82,83,85	8,13,19,22,27,28,35,38,39,40,44,45,56,61,77,78,81,84
7	1	69	24	17	5	0,1,3,4,5,6,7,8,9,11,12,13,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,35,36,37,38,39,40,41,42,43,44,45,48,49,51,52,53,54,55,56,57,59,60,61,63,64,66,68,69,70,71,72,73,74,76,77,78,79,81,82,84	2,10,14,21,33,34,46,47,50,58,62,65,67,75,80,83,85
7	2	69	23	17	6	0,2,3,4,5,6,7,8,9,10,11,13,14,15,17,18,19,20,21,22,23,24,26,27,28,33,34,35,38,39,40,41,44,45,46,47,48,49,50,51,52,54,55,56,57,58,59,60,61,62,63,64,65,66,67,69,71,73,74,75,76,77,78,79,80,81,83,84,85	1,12,16,25,29,30,31,32,36,37,42,43,53,68,70,72,82
7	3	69	23	17	6	1,2,5,6,8,10,12,13,14,15,16,17,18,19,20,21,22,23,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,53,54,55,56,58,59,61,62,65,66,67,68,69,70,72,73,75,76,77,78,80,81,82,83,84,85	0,3,4,7,9,11,24,26,41,52,57,60,63,64,71,74,79
7	4	69	23	17	6	0,1,2,3,4,7,8,9,10,11,12,13,14,16,19,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,50,52,53,56,57,58,60,61,62,63,64,65,67,68,70,71,72,74,75,77,78,79,80,81,82,83,84,85	5,6,15,17,18,20,23,48,49,51,54,55,59,66,69,73,76
8	0	68	23	18	6	0,1,2,4,5,6,7,9,11,12,13,14,16,17,19,20,22,23,24,26,27,28,30,31,32,33,35,36,37,39,40,41,42,43,45,46,47,48,50,52,53,54,56,57,59,60,61,62,64,65,66,67,68,69,70,71,72,73,75,76,77,79,80,81,82,83,84,85	3,8,10,15,18,21,25,29,34,38,44,49,51,55,58,63,74,78
8	1	69	24	17	5	0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,18,19,20,21,23,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,52,53,54,55,57,58,60,62,63,64,65,68,69,70,73,74,75,76,78,79,80,81,82,84	14,16,17,22,24,35,50,56,59,61,66,67,71,72,77,83,85
8	2	69	23	17	6	1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,21,22,23,24,25,26,28,29,32,33,34,35,37,38,40,41,42,43,44,45,46,48,49,50,51,52,54,55,56,57,58,59,60,61,62,63,66,67,68,70,71,72,73,74,76,77,78,79,80,81,83,85	0,5,19,20,27,30,31,36,39,47,53,64,65,69,75,82,84
8	3	69	23	17	6	0,1,3,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,29,30,31,32,33,34,35,36,37,38,39,43,44,45,46,47,49,50,51,52,53,55,56,57,58,59,61,63,64,65,66,67,69,70,71,72,73,74,75,77,78,82,83,84,85	2,4,11,26,28,40,41,42,48,54,60,62,68,76,79,80,81
8	4	69	23	17	6	0,2,3,4,5,8,10,11,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,34,35,36,38,39,40,41,42,44,47,48,49,50,51,53,54,55,56,58,59,60,61,62,63,64,65,66,67,68,69,71,72,74,75,76,77,78,79,80,81,82,83,84,85	1,6,7,9,12,13,23,32,33,37,43,45,46,52,57,70,73
9	0	68	23	18	6	0,1,2,3,4,6,8,9,10,11,12,13,14,16,17,18,19,21,23,24,25,26,27,29,30,31,32,33,34,35,36,38,39,41,42,43,44,45,46,47,48,49,50,53,54,55,56,57,61,62,63,64,67,69,70,71,72,73,74,76,77,78,79,80,81,82,83,85	5,7,15,20,22,28,37,40,51,52,58,59,60,65,66,68,75,84
9	1	69	24	17	5	0,1,3,4,5,6,7,8,9,11,12,13,15,18,19,20,22,23,25,26,27,28,29,30,31,32,35,36,37,39,40,41,42,44,45,46,48,49,51,52,53,54,55,56,57,58,59,60,61,63,65,66,67,68,70,71,72,73,74,75,76,77,78,79,80,82,83,84,85	2,10,14,16,17,21,24,33,34,38,43,47,50,62,64,69,81
9	2	69	23	17	6	0,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,20,21,22,23,24,26,27,28,29,30,33,34,35,36,37,38,39,40,43,44,45,46,47,49,50,51,52,53,54,58,59,60,61,62,64,65,66,68,69,72,73,74,75,77,78,79,80,81,82,83,84,85	1,9,19,25,31,32,41,42,48,55,56,57,63,67,70,71,76
9	3	69	23	17	6	1,2,4,5,6,7,8,9,10,14,15,16,17,19,20,21,22,24,25,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,45,46,47,48,49,50,51,52,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,73,75,76,77,78,79,81,84	0,3,11,12,13,18,23,26,35,44,53,72,74,80,82,83,85
9	4	69	23	17	6	0,1,2,3,5,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,31,32,33,34,35,37,38,40,41,42,43,44,47,48,50,51,52,53,55,56,57,58,59,60,62,63,64,65,66,67,68,69,70,71,72,74,75,76,80,81,82,83,84,85	4,6,8,27,29,30,36,39,45,46,49,54,61,73,77,78,79
10	0	68	23	18	6	0,1,2,3,4,5,6,11,13,14,15,16,17,18,19,21,22,23,24,26,28,29,31,32,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49,51,52,54,55,56,57,58,60,62,63,64,66,67,68,69,70,72,73,74,75,76,77,78,79,80,81,83,84,85	7,8,9,10,12,20,25,27,30,33,36,50,53,59,61,65,71,82
10	1	69	24	17	5	0,1,2,3,4,5,7,8,9,10,11,12,14,16,18,19,20,21,25,26,27,28,29,30,31,32,33,34,35,36,37,39,40,41,42,43,44,45,47,49,50,51,52,53,54,55,57,58,59,60,61,63,64,65,67,69,70,71,72,73,74,75,76,77,78,79,80,82,85	6,13,15,17,22,23,24,38,46,48,56,62,66,68,81,83,84
10	2	69	23	17	6	0,2,4,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,48,49,50,53,54,55,56,57,59,61,62,63,65,66,67,68,71,72,73,74,76,77,79,80,81,82,83,84,85	1,3,5,18,28,29,41,47,51,52,58,60,64,69,70,75,78
10	3	69	23	17	6	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,27,28,29,30,31,32,33,36,37,38,39,41,45,46,47,48,49,50,51,52,53,55,56,58,59,60,61,62,64,65,66,67,68,69,70,71,72,74,75,78,81,82,83,84	21,26,34,35,40,42,43,44,54,57,63,73,76,77,79,80,85
10	4	69	23	17	6	1,3,5,6,7,8,9,10,12,13,15,17,18,20,21,22,23,24,25,26,27,28,29,30,33,34,35,36,38,40,41,42,43,44,46,47,48,50,51,52,53,54,56,57,58,59,60,61,62,63,64,65,66,68,69,70,71,73,75,76,77,78,79,80,81,82,83,84,85	0,2,4,11,14,16,19,31,32,37,39,45,49,55,67,72,74
11	0	68	23	18	6	0,2,3,4,5,6,7,9,10,12,13,14,15,16,17,18,20,21,22,23,24,26,28,29,30,31,32,34,35,37,38,39,40,41,42,44,45,46,48,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,70,71,73,74,75,77,78,80,81,82,83,84	1,8,11,19,25,27,33,36,43,47,49,50,60,69,72,76,79,85
11	1	69	24	17	5	0,1,2,3,4,5,6,8,9,10,11,13,14,15,17,18,19,20,21,23,24,25,26,27,28,31,32,33,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,59,60,61,65,66,67,68,69,72,74,75,76,77,79,80,81,82,83,85	7,12,16,22,29,30,34,41,58,62,63,64,70,71,73,78,84
11	2	69	23	17	6	1,2,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,27,28,29,30,32,33,34,36,37,38,39,41,42,43,44,47,48,49,50,52,54,55,57,58,59,60,61,62,63,64,65,66,67,69,70,71,72,73,74,75,76,77,78,79,80,81,82,84,85	0,3,4,5,10,15,26,31,35,40,45,46,51,53,56,68,83
11	3	69	23	17	6	0,1,2,3,4,5,7,8,9,10,11,12,14,15,16,17,19,20,21,22,24,25,26,27,29,30,31,33,34,35,36,40,41,42,43,44,45,46,47,49,50,51,52,53,55,56,57,58,60,62,63,64,65,66,68,69,70,71,72,73,74,75,76,78,79,80,83,84,85	6,13,18,23,28,32,37,38,39,48,54,59,61,67,77,81,82
11	4	69	23	17	6	0,1,3,4,5,6,7,8,10,11,12,13,15,16,18,19,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,45,46,47,48,49,50,51,53,54,56,58,59,60,61,62,63,64,67,68,69,70,71,72,73,76,77,78,79,81,82,83,84,85	2,9,14,17,20,21,24,42,44,52,55,57,65,66,74,75,80
12	0	68	23	18	6	0,1,2,3,4,5,6,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,33,34,36,38,39,40,41,42,44,45,46,47,48,49,50,51,52,54,55,57,59,61,62,63,64,65,66,67,70,71,72,73,77,78,79,80,81,82,83,85	7,10,29,31,32,35,37,43,53,56,58,60,68,69,74,75,76,84
12	1	69	24	17	5	0,1,2,4,6,7,9,10,12,13,14,15,16,17,18,19,20,22,23,24,26,27,28,29,30,31,32,33,34,35,37,41,42,43,44,45,46,47,48,49,52,53,55,56,58,59,60,61,62,63,65,66,67,68,69,70,71,72,74,75,76,77,78,79,80,82,83,84,85	3,5,8,11,21,25,36,38,39,40,50,51,54,57,64,73,81
12	2	69	23	17	6	0,3,4,5,7,8,9,10,11,12,13,14,15,16,18,19,20,21,23,25,27,29,30,31,32,33,34,35,36,37,38,39,40,43,44,45,46,47,49,50,51,52,53,54,56,57,58,59,60,61,62,63,64,66,67,68,69,70,73,74,75,76,77,78,79,80,81,84,85	1,2,6,17,22,24,26,28,41,42,48,55,65,71,72,82,83
12	3	69	23	17	6	1,2,3,5,6,7,8,9,10,11,13,16,17,19,21,22,24,25,26,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,47,48,49,50,51,53,54,55,56,57,58,60,61,63,64,65,66,67,68,69,71,72,73,74,75,76,79,80,81,82,83,84,85	0,4,12,14,15,18,20,23,27,30,46,52,59,62,70,77,78
12	4	69	23	17	6	0,1,2,3,4,5,6,7,8,10,11,12,14,15,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,35,36,37,38,39,40,41,42,43,46,48,50,51,52,53,54,55,56,57,58,59,60,62,64,65,68,69,70,71,72,73,74,75,76,77,78,81,82,83,84	9,13,16,19,33,34,44,45,47,49,61,63,66,67,79,80,85
13	0	68	23	18	6	0,1,2,3,5,6,7,8,9,10,11,12,13,16,17,18,19,20,21,22,23,24,25,26,27,29,32,33,34,35,36,38,39,40,43,44,46,49,51,52,53,55,56,57,58,59,61,63,64,66,67,68,69,70,72,73,74,75,76,77,78,79,80,81,82,83,84,85	4,14,15,28,30,31,37,41,42,45,47,48,50,54,60,62,65,71
13	1	69	24	17	5	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,43,45,47,48,49,50,52,54,55,57,60,61,62,64,65,66,67,68,69,70,71,72,73,74,76,78,79,80,82,83,84,85	0,2,22,24,38,40,44,46,51,53,56,58,59,63,75,77,81
13	2	69	23	17	6	0,1,2,3,4,5,6,7,10,11,12,13,14,15,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50,51,53,54,56,58,59,60,62,63,64,65,66,67,68,71,72,74,75,76,77,78,81,82,84,85	8,9,16,17,18,20,49,52,55,57,61,69,70,73,79,80,83
13	3	69	23	17	6	0,2,4,8,9,11,12,14,15,16,17,18,19,20,22,24,25,26,28,30,31,32,33,34,35,37,38,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,76,77,79,80,81,82,83,84	1,3,5,6,7,10,13,21,23,27,29,36,39,43,67,78,85
13	4	69	23	17	6	0,1,2,3,4,5,6,7,8,9,10,13,14,15,16,17,18,20,21,22,23,24,27,28,29,30,31,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65,67,69,70,71,73,75,77,78,79,80,81,83,85	11,12,19,25,26,32,33,34,35,64,66,68,72,74,76,82,84
14	0	68	23	18	6	0,1,2,3,4,5,6,7,8,9,11,12,14,15,16,18,20,21,23,24,25,28,29,30,31,33,35,36,37,38,39,40,41,42,43,44,46,47,48,49,50,52,54,55,56,57,58,60,62,63,64,65,66,67,68,69,70,71,73,75,76,77,78,79,80,81,82,84	10,13,17,19,22,26,27,32,34,45,51,53,59,61,72,74,83,85
14	1	69	24	17	5	0,1,2,3,4,5,6,7,9,10,11,12,13,14,17,18,19,21,22,23,24,25,26,27,28,30,32,33,34,37,38,41,42,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,65,66,67,68,69,70,71,72,73,74,75,77,78,79,80,82,83,84,85	8,15,16,20,29,31,35,36,39,40,43,44,60,63,64,76,81
14	2	69	23	17	6	2,4,7,8,9,10,11,13,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,50,51,52,53,54,55,58,59,60,61,63,64,65,66,67,69,70,72,73,74,75,76,77,79,80,81,82,83,84,85	0,1,3,5,6,12,14,23,41,48,49,56,57,62,68,71,78
14	3	69	23	17	6	0,1,2,3,4,5,6,8,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,45,47,48,49,50,51,53,55,56,57,59,60,61,62,63,64,65,68,71,72,74,76,77,78,80,81,83,84,85	7,9,21,28,37,46,52,54,58,66,67,69,70,73,75,79,82
14	4	69	23	17	6	0,1,3,5,6,7,8,9,10,12,13,14,15,16,17,19,20,21,22,23,26,27,28,29,31,32,34,35,36,37,39,40,41,43,44,45,46,48,49,51,52,53,54,56,57,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,78,79,81,82,83,85	2,4,11,18,24,25,30,33,38,42,47,50,55,65,77,80,84
