cohort_id,column,nonmissing_n,missing_n,unique_n,dtype,example_values,numeric_fraction,numeric_min,numeric_median,numeric_max,binary_or_low_cardinality_counts,endpoint_candidate
GSE21257,characteristics_ch1.4.huvos grade,53,0,5,object,4 | 2 | 3 | 1 | Unknown,0.8867924528301887,,,,"{""1"": 13, ""2"": 16, ""3"": 13, ""4"": 5, ""Unknown"": 6}",False
GSE21257,characteristics_ch1.5.group,53,0,17,object,Metastases present at diagnosis | Metastases at 16 months after diagnosis of the primary tumor | Metastases at 10 months after diagnosis of the primary tumor | Metastases at 5 months after diagnosis of the primary tumor | Metastases at 30 months after diagnosis of the primary tumor,0.0,,,,,False
GSE21257,characteristics_ch1.6.status,53,0,46,object,Deceased after 27 months. | Deceased at 21 months after diagnosis of the primary tumor | Alive at 46 months after diagnosis of the primary tumor | Alive at 28 months after diagnosis of the primary tumor | Deceased at 11 months after diagnosis of the primary tumor,0.0,,,,,False
GSE21257,molecule_ch1,53,0,1,object,total RNA,0.0,,,,"{""total RNA"": 53}",False
GSE21257,extract_protocol_ch1,53,0,1,object,"Osteosarcoma tissue was snap-frozen in 2-Methylbutane (Sigma-Aldrich, Zwijndrecht, the Netherlands) and stored at -70В°C. Using a cryostat, 20 Вµm sections from each block were cut and stained with hematoxylin and eosin to ensure at least 70% tumor content and viability. RNA was isolated using TRIzol reagent (Invitrogen), followed by RNA clean-up using the QIAGEN Rneasy mini kit (Venlo, the Netherlands) with on-column DNAse treatment, according to manufacturers instructions. RNA quality and concentration were measured using an Agilent 2100 Bioanalyzer (Santa Clara, CA, USA) and Nanodrop ND-1000 (Thermo Fisher Scientific, Waltham, MA, USA), respectively.",0.0,,,,"{""Osteosarcoma tissue was snap-frozen in 2-Methylbutane (Sigma-Aldrich, Zwijndrecht, the Netherlands) and stored at -70\u0412\u00b0C. Using a cryostat, 20 \u0412\u00b5m sections from each block were cut and stained with hematoxylin and eosin to ensure at least 70% tumor content and viability. RNA was isolated using TRIzol reagent (Invitrogen), followed by RNA clean-up using the QIAGEN Rneasy mini kit (Venlo, the Netherlands) with on-column DNAse treatment, according to manufacturers instructions. RNA quality and concentration were measured using an Agilent 2100 Bioanalyzer (Santa Clara, CA, USA) and Nanodrop ND-1000 (Thermo Fisher Scientific, Waltham, MA, USA), respectively."": 53}",False
GSE21257,label_ch1,53,0,1,object,biotin,0.0,,,,"{""biotin"": 53}",False
GSE21257,label_protocol_ch1,53,0,1,object,As per manufacturer's instructions.,0.0,,,,"{""As per manufacturer's instructions."": 53}",False
GSE21257,hyb_protocol,53,0,1,object,As per manufacturer's instructions.,0.0,,,,"{""As per manufacturer's instructions."": 53}",False
GSE21257,scan_protocol,53,0,1,object,As per manufacturer's instructions.,0.0,,,,"{""As per manufacturer's instructions."": 53}",False
GSE21257,description,53,0,1,object,Gene expression data were exported from BeadStudio version 3.1.3.0 (Illumina) in GeneSpring probe profile format.,0.0,,,,"{""Gene expression data were exported from BeadStudio version 3.1.3.0 (Illumina) in GeneSpring probe profile format."": 53}",False
GSE21257,data_processing,53,0,1,object,"Data were analyzed using the statistical language R. As Illumina identifiers are not stable and consistent between different chip versions, raw oligonucleotide sequences were converted to nuIDs. Data were transformed using the variance stabilizing transformation (vst) algorithm and subsequently normalized using robust spline normalization. Conversion to nuIDs, variance stabilizing transformation, and normalization of the data were all carried out using the Bioconductor package lumi. Quality control was performed using the Bioconductor package arrayQualityMetrics. Two supplementary/raw files are present, because each array that represents one sample consists of 2 chips. The supplementary/raw data files represent the bead level data (2 raw .txt files per sample, containing all intensities per bead).",0.0,,,,"{""Data were analyzed using the statistical language R. As Illumina identifiers are not stable and consistent between different chip versions, raw oligonucleotide sequences were converted to nuIDs. Data were transformed using the variance stabilizing transformation (vst) algorithm and subsequently normalized using robust spline normalization. Conversion to nuIDs, variance stabilizing transformation, and normalization of the data were all carried out using the Bioconductor package lumi. Quality control was performed using the Bioconductor package arrayQualityMetrics. Two supplementary/raw files are present, because each array that represents one sample consists of 2 chips. The supplementary/raw data files represent the bead level data (2 raw .txt files per sample, containing all intensities per bead)."": 53}",False
GSE21257,platform_id,53,0,1,object,GPL10295,0.0,,,,"{""GPL10295"": 53}",False
GSE21257,contact_name,53,0,1,object,"Marieke,Lydia,Kuijjer",0.0,,,,"{""Marieke,Lydia,Kuijjer"": 53}",False
GSE21257,contact_laboratory,53,0,1,object,Kuijjer,0.0,,,,"{""Kuijjer"": 53}",False
GSE21257,contact_institute,53,0,1,object,Centre for Molecular Medicine Norway,0.0,,,,"{""Centre for Molecular Medicine Norway"": 53}",False
GSE21257,contact_address,53,0,1,object,GaustadallГ©en 21,0.0,,,,"{""Gaustadall\u0413\u00a9en 21"": 53}",False
GSE21257,contact_city,53,0,1,object,Oslo,0.0,,,,"{""Oslo"": 53}",False
GSE21257,contact_zip/postal_code,53,0,1,int64,349,1.0,349.0,349.0,349.0,"{""349"": 53}",False
GSE21257,contact_country,53,0,1,object,Norway,0.0,,,,"{""Norway"": 53}",False
GSE21257,supplementary_file,53,0,53,object,"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM530nnn/GSM530667/suppl/GSM530667_1705168045_C_1.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM530nnn/GSM530667/suppl/GSM530667_1705168045_C_2.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM530nnn/GSM530899/suppl/GSM530899_1718911103_D_1.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM530nnn/GSM530899/suppl/GSM530899_1718911103_D_2.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531283/suppl/GSM531283_1718911103_C_1.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531283/suppl/GSM531283_1718911103_C_2.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531284/suppl/GSM531284_1718911103_A_1.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531284/suppl/GSM531284_1718911103_A_2.txt.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531285/suppl/GSM531285_1718911143_E_1.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531285/suppl/GSM531285_1718911143_E_2.txt.gz",0.0,,,,,False
GSE21257,series_id,53,0,1,object,GSE21257,0.0,,,,"{""GSE21257"": 53}",False
GSE21257,data_row_count,53,0,1,int64,48701,1.0,48701.0,48701.0,48701.0,"{""48701"": 53}",False
GSE21257,metadata_text_combined,53,0,53,object,"00043-05 | GSM530667 | Public on Feb 11 2011 | Apr 06 2010 | Feb 12 2011 | RNA | 1 | Osteosarcoma pre-chemotherapy biopsy | Homo sapiens | 9606 | 174 months | M | Giant cell rich | Left distal femur | 4 | Metastases present at diagnosis | Deceased after 27 months. | total RNA | Osteosarcoma tissue was snap-frozen in 2-Methylbutane (Sigma-Aldrich, Zwijndrecht, the Netherlands) and stored at -70В°C. Using a cryostat, 20 Вµm sections from each block were cut and stained with hematoxylin and eosin to ensure at least 70% tumor content and viability. RNA was isolated using TRIzol reagent (Invitrogen), followed by RNA clean-up using the QIAGEN Rneasy mini kit (Venlo, the Netherlands) with on-column DNAse treatment, according to manufacturers instructions. RNA quality and concentration were measured using an Agilent 2100 Bioanalyzer (Santa Clara, CA, USA) and Nanodrop ND-1000 (Thermo Fisher Scientific, Waltham, MA, USA), respectively. | biotin | As per manufacturer's instructions. | As per manufacturer's instructions. | As per manufacturer's instructions. | Gene expression data were exported from BeadStudio version 3.1.3.0 (Illumina) in GeneSpring probe profile format. | Data were analyzed using the statistical language R. As Illumina identifiers are not stable and consistent between different chip versions, raw oligonucleotide sequences were converted to nuIDs. Data were transformed using the variance stabilizing transformation (vst) algorithm and subsequently normalized using robust spline normalization. Conversion to nuIDs, variance stabilizing transformation, and normalization of the data were all carried out using the Bioconductor package lumi. Quality control was performed using the Bioconductor package arrayQualityMetrics. Two supplementary/raw files are present, because each array that represents one sample consists of 2 chips. The supplementary/raw data files represent the bead level data (2 raw .txt files per sample, containing all intensities per bead). | GPL10295 | Marieke,Lydia,Kuijjer | Kuijjer | Centre for Molecular Medicine Norway | GaustadallГ©en 21 | Oslo | 0349 | Norway | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM530nnn/GSM530667/suppl/GSM530667_1705168045_C_1.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM530nnn/GSM530667/suppl/GSM530667_1705168045_C_2.txt.gz | GSE21257 | 48701 | 00745-04 | GSM530899 | Public on Feb 11 2011 | Apr 07 2010 | Feb 12 2011 | RNA | 1 | Osteosarcoma pre-chemotherapy biopsy | Homo sapiens | 9606 | 162 months | M | Osteoblastic | Left proximal humerus | 2 | Metastases at 16 months after diagnosis of the primary tumor | Deceased at 21 months after diagnosis of the primary tumor | total RNA | Osteosarcoma tissue was snap-frozen in 2-Methylbutane (Sigma-Aldrich, Zwijndrecht, the Netherlands) and stored at -70В°C. Using a cryostat, 20 Вµm sections from each block were cut and stained with hematoxylin and eosin to ensure at least 70% tumor content and viability. RNA was isolated using TRIzol reagent (Invitrogen), followed by RNA clean-up using the QIAGEN Rneasy mini kit (Venlo, the Netherlands) with on-column DNAse treatment, according to manufacturers instructions. RNA quality and concentration were measured using an Agilent 2100 Bioanalyzer (Santa Clara, CA, USA) and Nanodrop ND-1000 (Thermo Fisher Scientific, Waltham, MA, USA), respectively. | biotin | As per manufacturer's instructions. | As per manufacturer's instructions. | As per manufacturer's instructions. | Gene expression data were exported from BeadStudio version 3.1.3.0 (Illumina) in GeneSpring probe profile format. | Data were analyzed using the statistical language R. As Illumina identifiers are not stable and consistent between different chip versions, raw oligonucleotide sequences were converted to nuIDs. Data were transformed using the variance stabilizing transformation (vst) algorithm and subsequently normalized using robust spline normalization. Conversion to nuIDs, variance stabilizing transformation, and normalization of the data were all carried out using the Bioconductor package lumi. Quality control was performed using the Bioconductor package arrayQualityMetrics. Two supplementary/raw files are present, because each array that represents one sample consists of 2 chips. The supplementary/raw data files represent the bead level data (2 raw .txt files per sample, containing all intensities per bead). | GPL10295 | Marieke,Lydia,Kuijjer | Kuijjer | Centre for Molecular Medicine Norway | GaustadallГ©en 21 | Oslo | 0349 | Norway | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM530nnn/GSM530899/suppl/GSM530899_1718911103_D_1.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM530nnn/GSM530899/suppl/GSM530899_1718911103_D_2.txt.gz | GSE21257 | 48701 | 00917-04 | GSM531283 | Public on Feb 11 2011 | Apr 08 2010 | Feb 12 2011 | RNA | 1 | Osteosarcoma pre-chemotherapy biopsy | Homo sapiens | 9606 | 170 months | M | Osteoblastic | Left distal femur | 3 | Metastases present at diagnosis | Alive at 46 months after diagnosis of the primary tumor | total RNA | Osteosarcoma tissue was snap-frozen in 2-Methylbutane (Sigma-Aldrich, Zwijndrecht, the Netherlands) and stored at -70В°C. Using a cryostat, 20 Вµm sections from each block were cut and stained with hematoxylin and eosin to ensure at least 70% tumor content and viability. RNA was isolated using TRIzol reagent (Invitrogen), followed by RNA clean-up using the QIAGEN Rneasy mini kit (Venlo, the Netherlands) with on-column DNAse treatment, according to manufacturers instructions. RNA quality and concentration were measured using an Agilent 2100 Bioanalyzer (Santa Clara, CA, USA) and Nanodrop ND-1000 (Thermo Fisher Scientific, Waltham, MA, USA), respectively. | biotin | As per manufacturer's instructions. | As per manufacturer's instructions. | As per manufacturer's instructions. | Gene expression data were exported from BeadStudio version 3.1.3.0 (Illumina) in GeneSpring probe profile format. | Data were analyzed using the statistical language R. As Illumina identifiers are not stable and consistent between different chip versions, raw oligonucleotide sequences were converted to nuIDs. Data were transformed using the variance stabilizing transformation (vst) algorithm and subsequently normalized using robust spline normalization. Conversion to nuIDs, variance stabilizing transformation, and normalization of the data were all carried out using the Bioconductor package lumi. Quality control was performed using the Bioconductor package arrayQualityMetrics. Two supplementary/raw files are present, because each array that represents one sample consists of 2 chips. The supplementary/raw data files represent the bead level data (2 raw .txt files per sample, containing all intensities per bead). | GPL10295 | Marieke,Lydia,Kuijjer | Kuijjer | Centre for Molecular Medicine Norway | GaustadallГ©en 21 | Oslo | 0349 | Norway | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531283/suppl/GSM531283_1718911103_C_1.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531283/suppl/GSM531283_1718911103_C_2.txt.gz | GSE21257 | 48701 | 07677-05 | GSM531284 | Public on Feb 11 2011 | Apr 08 2010 | Feb 12 2011 | RNA | 1 | Osteosarcoma pre-chemotherapy biopsy | Homo sapiens | 9606 | 133 months | F | Fibroblastic | Left distal femur | 1 | Metastases at 10 months after diagnosis of the primary tumor | Alive at 28 months after diagnosis of the primary tumor | total RNA | Osteosarcoma tissue was snap-frozen in 2-Methylbutane (Sigma-Aldrich, Zwijndrecht, the Netherlands) and stored at -70В°C. Using a cryostat, 20 Вµm sections from each block were cut and stained with hematoxylin and eosin to ensure at least 70% tumor content and viability. RNA was isolated using TRIzol reagent (Invitrogen), followed by RNA clean-up using the QIAGEN Rneasy mini kit (Venlo, the Netherlands) with on-column DNAse treatment, according to manufacturers instructions. RNA quality and concentration were measured using an Agilent 2100 Bioanalyzer (Santa Clara, CA, USA) and Nanodrop ND-1000 (Thermo Fisher Scientific, Waltham, MA, USA), respectively. | biotin | As per manufacturer's instructions. | As per manufacturer's instructions. | As per manufacturer's instructions. | Gene expression data were exported from BeadStudio version 3.1.3.0 (Illumina) in GeneSpring probe profile format. | Data were analyzed using the statistical language R. As Illumina identifiers are not stable and consistent between different chip versions, raw oligonucleotide sequences were converted to nuIDs. Data were transformed using the variance stabilizing transformation (vst) algorithm and subsequently normalized using robust spline normalization. Conversion to nuIDs, variance stabilizing transformation, and normalization of the data were all carried out using the Bioconductor package lumi. Quality control was performed using the Bioconductor package arrayQualityMetrics. Two supplementary/raw files are present, because each array that represents one sample consists of 2 chips. The supplementary/raw data files represent the bead level data (2 raw .txt files per sample, containing all intensities per bead). | GPL10295 | Marieke,Lydia,Kuijjer | Kuijjer | Centre for Molecular Medicine Norway | GaustadallГ©en 21 | Oslo | 0349 | Norway | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531284/suppl/GSM531284_1718911103_A_1.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531284/suppl/GSM531284_1718911103_A_2.txt.gz | GSE21257 | 48701 | 09541-05 | GSM531285 | Public on Feb 11 2011 | Apr 08 2010 | Feb 12 2011 | RNA | 1 | Osteosarcoma pre-chemotherapy biopsy | Homo sapiens | 9606 | 81 months | F | Osteoblastic | Humerus | 1 | Metastases at 5 months after diagnosis of the primary tumor | Deceased at 11 months after diagnosis of the primary tumor | total RNA | Osteosarcoma tissue was snap-frozen in 2-Methylbutane (Sigma-Aldrich, Zwijndrecht, the Netherlands) and stored at -70В°C. Using a cryostat, 20 Вµm sections from each block were cut and stained with hematoxylin and eosin to ensure at least 70% tumor content and viability. RNA was isolated using TRIzol reagent (Invitrogen), followed by RNA clean-up using the QIAGEN Rneasy mini kit (Venlo, the Netherlands) with on-column DNAse treatment, according to manufacturers instructions. RNA quality and concentration were measured using an Agilent 2100 Bioanalyzer (Santa Clara, CA, USA) and Nanodrop ND-1000 (Thermo Fisher Scientific, Waltham, MA, USA), respectively. | biotin | As per manufacturer's instructions. | As per manufacturer's instructions. | As per manufacturer's instructions. | Gene expression data were exported from BeadStudio version 3.1.3.0 (Illumina) in GeneSpring probe profile format. | Data were analyzed using the statistical language R. As Illumina identifiers are not stable and consistent between different chip versions, raw oligonucleotide sequences were converted to nuIDs. Data were transformed using the variance stabilizing transformation (vst) algorithm and subsequently normalized using robust spline normalization. Conversion to nuIDs, variance stabilizing transformation, and normalization of the data were all carried out using the Bioconductor package lumi. Quality control was performed using the Bioconductor package arrayQualityMetrics. Two supplementary/raw files are present, because each array that represents one sample consists of 2 chips. The supplementary/raw data files represent the bead level data (2 raw .txt files per sample, containing all intensities per bead). | GPL10295 | Marieke,Lydia,Kuijjer | Kuijjer | Centre for Molecular Medicine Norway | GaustadallГ©en 21 | Oslo | 0349 | Norway | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531285/suppl/GSM531285_1718911143_E_1.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM531nnn/GSM531285/suppl/GSM531285_1718911143_E_2.txt.gz | GSE21257 | 48701",0.0,,,,,False
GSE21257,metastasis_within_5y,53,0,2,float64,1.0 | 0.0,1.0,0.0,1.0,1.0,"{""0.0"": 19, ""1.0"": 34}",True
GSE21257,os_time_months,53,0,44,float64,27.0 | 21.0 | 46.0 | 28.0 | 11.0,1.0,4.0,45.0,246.0,,True
GSE21257,os_time_days_approx,53,0,44,float64,821.8125 | 639.1875 | 1400.125 | 852.25 | 334.8125,1.0,121.75,1369.6875,7487.625,,True
GSE21257,os_event,53,0,2,float64,1.0 | 0.0,1.0,0.0,0.0,1.0,"{""0.0"": 30, ""1.0"": 23}",True
GSE21257,age_months,0,53,0,float64,,0.0,,,,,True
GSE21257,age_years,0,53,0,float64,,0.0,,,,,True
GSE21257,group_parsed,0,53,0,float64,,0.0,,,,,False
GSE21257,status_parsed,0,53,0,float64,,0.0,,,,,False
GSE21257,metastasis_endpoint_note,53,0,1,object,Pre-chemotherapy biopsy group parsed from GEO sample metadata; no classifier or association test fitted in script 22,0.0,,,,"{""Pre-chemotherapy biopsy group parsed from GEO sample metadata; no classifier or association test fitted in script 22"": 53}",True
GSE21257,survival_endpoint_note,53,0,1,object,OS time/event parsed from GEO status text for sensitivity analysis; no survival model fitted in script 22,0.0,,,,"{""OS time/event parsed from GEO status text for sensitivity analysis; no survival model fitted in script 22"": 53}",True
GSE39055,title,37,0,37,object,OS_Biopsy_7 (mRNA) | OS_Biopsy_9 (mRNA) | OS_Biopsy_10 (mRNA) | OS_Biopsy_11 (mRNA) | OS_Biopsy_12 (mRNA),0.0,,,,,False
GSE39055,age_years,37,0,16,float64,4.0 | 11.0 | 5.0 | 13.0 | 12.0,1.0,4.0,11.0,71.0,,True
GSE39055,sex,37,0,2,object,male | female,0.0,,,,"{""female"": 17, ""male"": 20}",False
GSE39055,chemotherapy,37,0,2,object,"MAP 2 pre-surgery, 3 post | AP 2 pre-surgery, 3 post",0.0,,,,"{""AP 2 pre-surgery, 3 post"": 2, ""MAP 2 pre-surgery, 3 post"": 35}",False
GSE39055,percent_necrosis_raw,37,0,19,object,60% necrosis | >90% necrosis | 94% necrosis | >99% necrosis | 90-95% necrosis,0.0,,,,,True
GSE39055,percent_necrosis_numeric,37,0,15,float64,60.0 | 90.0 | 94.0 | 99.0 | 98.0,1.0,5.0,60.0,99.0,,True
GSE39055,good_necrosis_response_ge90,37,0,2,float64,0.0 | 1.0,1.0,0.0,0.0,1.0,"{""0.0"": 24, ""1.0"": 13}",True
GSE39055,recurrence_event,37,0,2,float64,1.0 | 0.0,1.0,0.0,0.0,1.0,"{""0.0"": 19, ""1.0"": 18}",True
GSE39055,death_event_descriptive,37,0,2,float64,1.0 | 0.0,1.0,0.0,0.0,1.0,"{""0.0"": 27, ""1.0"": 10}",True
GSE39055,rfs_time_months,37,0,37,float64,126.3 | 19.5 | 82.6 | 61.1 | 30.4,1.0,0.0,33.5,200.9,,True
GSE39055,tissue,37,0,1,object,osteosarcoma,0.0,,,,"{""osteosarcoma"": 37}",False
GSE39055,biopsy_resection_pair,5,32,5,float64,1.0 | 2.0 | 3.0 | 4.0 | 5.0,1.0,1.0,3.0,5.0,"{""1.0"": 1, ""2.0"": 1, ""3.0"": 1, ""4.0"": 1, ""5.0"": 1}",False
