scenario_id,model,mean_delta_uno_c,negative_transfer_rate_at_deltaC_le_-0.02,catastrophic_transfer_rate_at_deltaC_le_-0.05,scenario_class,regime
STRESS_0049,A3,0.008545831243,0.17,0.03,STRESS,R2
STRESS_0050,A2,-0.009522443863,0.38,0.09,STRESS,R2
STRESS_0050,A3,-0.002217654,0.29,0.05,STRESS,R2
STRESS_0051,A2,-0.004494640984,0.32,0.12,STRESS,R2
STRESS_0051,A3,0.02452174246,0.07,0.01,STRESS,R2
STRESS_0052,A2,-0.0111252157,0.36,0.14,STRESS,R2
STRESS_0052,A3,0.01271437163,0.16,0.01,STRESS,R2
STRESS_0053,A2,0.002844155146,0.25,0.05,STRESS,R2
STRESS_0053,A3,-0.0009144564031,0.31,0.08,STRESS,R2
STRESS_0054,A2,0.01494275891,0.25,0.14,STRESS,R5
STRESS_0054,A3,-0.09597885832,0.98,0.9,STRESS,R5
STRESS_0055,A2,0.0290187602,0.19,0.13,STRESS,R5
STRESS_0055,A3,-0.09043020084,0.98,0.86,STRESS,R5
STRESS_0056,A2,0.03708055488,0.09,0.05,STRESS,R5
STRESS_0056,A3,-0.08193642434,0.98,0.77,STRESS,R5
STRESS_0057,A2,0.02579829966,0.23,0.09,STRESS,R5
STRESS_0057,A3,-0.09942028522,1,0.95,STRESS,R5
STRESS_0058,A2,0.03208693762,0.15,0.08,STRESS,R5
STRESS_0058,A3,-0.08956325378,0.99,0.91,STRESS,R5
STRESS_0059,A2,0.03457961599,0.14,0.04,STRESS,R5
STRESS_0059,A3,-0.08104704237,0.99,0.85,STRESS,R5
STRESS_0060,A2,0.02541014428,0.19,0.09,STRESS,R5
STRESS_0060,A3,-0.09538990332,1,0.87,STRESS,R5
STRESS_0061,A2,0.03267687956,0.15,0.05,STRESS,R5
STRESS_0061,A3,-0.08667732927,0.94,0.88,STRESS,R5
STRESS_0062,A2,0.03394561468,0.12,0.05,STRESS,R5
STRESS_0062,A3,-0.08160800614,0.96,0.87,STRESS,R5
STRESS_0063,A2,0.0376720231,0.16,0.03,STRESS,R5
STRESS_0063,A3,-0.09603071714,1,0.9,STRESS,R5
STRESS_0064,A2,0.02321722355,0.19,0.08,STRESS,R5
STRESS_0064,A3,-0.125448653,1,0.97,STRESS,R5
STRESS_0065,A2,0.03128762901,0.17,0.06,STRESS,R5
STRESS_0065,A3,-0.1445168259,1,0.97,STRESS,R5
STRESS_0066,A2,0.02230225495,0.21,0.11,STRESS,R5
STRESS_0066,A3,-0.0857701933,0.99,0.87,STRESS,R5
STRESS_0067,A2,0.01996419939,0.19,0.11,STRESS,R5
STRESS_0067,A3,-0.1191196351,1,0.96,STRESS,R5
STRESS_0068,A2,0.02123146443,0.26,0.07,STRESS,R5
STRESS_0068,A3,-0.1363350161,1,0.97,STRESS,R5
STRESS_0069,A2,0.007664205578,0.29,0.13,STRESS,R5
STRESS_0069,A3,-0.07075759626,0.93,0.7,STRESS,R5
STRESS_0070,A2,0.005502477671,0.32,0.17,STRESS,R5
STRESS_0070,A3,-0.1089860492,1,0.94,STRESS,R5
STRESS_0071,A2,0.008707929999,0.27,0.11,STRESS,R5
STRESS_0071,A3,-0.1236200804,1,0.97,STRESS,R5
STRESS_0072,A2,-0.005230083766,0.28,0.05,STRESS,R2
STRESS_0072,A3,0.02332777116,0.05,0,STRESS,R2
STRESS_0073,A2,-0.003518724656,0.34,0.08,STRESS,R2
STRESS_0073,A3,0.02457805279,0.04,0,STRESS,R2
STRESS_0074,A2,-0.0007657464175,0.38,0.17,STRESS,R2
STRESS_0074,A3,0.02062630866,0.12,0,STRESS,R2
STRESS_0075,A2,-0.004331030208,0.27,0.09,STRESS,R2
STRESS_0075,A3,0.02542401294,0.06,0,STRESS,R2
STRESS_0076,A2,0.002882556475,0.3,0.09,STRESS,R2
STRESS_0076,A3,0.0281141128,0.03,0,STRESS,R2
STRESS_0077,A2,-0.0003439231642,0.32,0.09,STRESS,R2
STRESS_0077,A3,0.02718101624,0.08,0.02,STRESS,R2
STRESS_0078,A2,-0.00634733022,0.31,0.07,STRESS,R2
STRESS_0078,A3,0.02435139878,0.05,0.01,STRESS,R2
STRESS_0079,A2,0.0006557744604,0.27,0.09,STRESS,R2
STRESS_0079,A3,0.03282511815,0.02,0,STRESS,R2
STRESS_0080,A2,0.009989887169,0.22,0.06,STRESS,R2
STRESS_0080,A3,0.02869128019,0.06,0,STRESS,R2
STRESS_0081,A2,-0.0009414746827,0.32,0.09,STRESS,R2
STRESS_0081,A3,0.02878962744,0.09,0.01,STRESS,R2
STRESS_0082,A2,0.004791374628,0.26,0.03,STRESS,R2
STRESS_0082,A3,0.01750784056,0.09,0.03,STRESS,R2
STRESS_0083,A2,-0.0002531264388,0.31,0.1,STRESS,R2
STRESS_0083,A3,-0.006475883756,0.32,0.07,STRESS,R2
STRESS_0084,A2,-0.0002377761453,0.28,0.1,STRESS,R2
STRESS_0084,A3,0.02443703208,0.08,0,STRESS,R2
STRESS_0085,A2,-0.002165492278,0.27,0.1,STRESS,R2
STRESS_0085,A3,0.01018308422,0.12,0.03,STRESS,R2
STRESS_0086,A2,0.001300635125,0.27,0.02,STRESS,R2
STRESS_0086,A3,-0.004042197293,0.32,0.05,STRESS,R2
STRESS_0087,A2,-0.002017398885,0.33,0.04,STRESS,R2
STRESS_0087,A3,0.02229052189,0.07,0,STRESS,R2
STRESS_0088,A2,-0.009248015939,0.42,0.07,STRESS,R2
STRESS_0088,A3,0.00518039088,0.24,0.09,STRESS,R2
STRESS_0089,A2,-0.004355427931,0.3,0.08,STRESS,R2
STRESS_0089,A3,-0.005257603991,0.27,0.08,STRESS,R2
STRESS_0090,A2,0.03137763739,0.12,0.03,STRESS,R5
STRESS_0090,A3,-0.08775356621,0.99,0.88,STRESS,R5
STRESS_0091,A2,0.0284608697,0.18,0.08,STRESS,R5
STRESS_0091,A3,-0.08132907338,0.99,0.89,STRESS,R5
STRESS_0092,A2,0.03891077971,0.07,0.02,STRESS,R5
STRESS_0092,A3,-0.06354878986,0.95,0.61,STRESS,R5
STRESS_0093,A2,0.0287335991,0.15,0.08,STRESS,R5
STRESS_0093,A3,-0.09060431616,1,0.91,STRESS,R5
STRESS_0094,A2,0.03656074932,0.1,0.06,STRESS,R5
STRESS_0094,A3,-0.07865407239,0.96,0.83,STRESS,R5
STRESS_0095,A2,0.04168640646,0.14,0.06,STRESS,R5
STRESS_0095,A3,-0.0633296677,0.92,0.71,STRESS,R5
STRESS_0096,A2,0.01600214677,0.19,0.1,STRESS,R5
STRESS_0096,A3,-0.08075149654,0.98,0.83,STRESS,R5
STRESS_0097,A2,0.02946487133,0.15,0.1,STRESS,R5
STRESS_0097,A3,-0.07440585528,0.97,0.76,STRESS,R5
STRESS_0098,A2,0.03061162922,0.13,0.05,STRESS,R5
STRESS_0098,A3,-0.06291293109,0.91,0.61,STRESS,R5
STRESS_0099,A2,0.03601567888,0.12,0.05,STRESS,R5
STRESS_0099,A3,-0.07935546401,0.98,0.85,STRESS,R5
STRESS_0100,A2,0.02733470845,0.13,0.05,STRESS,R5
STRESS_0100,A3,-0.1237281711,1,0.96,STRESS,R5
STRESS_0101,A2,0.02001562564,0.19,0.09,STRESS,R5
STRESS_0101,A3,-0.1335813497,1,1,STRESS,R5
STRESS_0102,A2,0.0253958389,0.19,0.07,STRESS,R5
STRESS_0102,A3,-0.07074156062,0.95,0.75,STRESS,R5
STRESS_0103,A2,0.01586143441,0.24,0.12,STRESS,R5
STRESS_0103,A3,-0.1089506955,1,0.94,STRESS,R5
STRESS_0104,A2,0.02059635227,0.19,0.07,STRESS,R5
STRESS_0104,A3,-0.1406546616,1,0.98,STRESS,R5
STRESS_0105,A2,0.00942408166,0.26,0.14,STRESS,R5
STRESS_0105,A3,-0.06244138571,0.92,0.63,STRESS,R5
STRESS_0106,A2,0.001922043061,0.35,0.16,STRESS,R5
STRESS_0106,A3,-0.101391651,0.99,0.89,STRESS,R5
STRESS_0107,A2,0.004323415508,0.27,0.13,STRESS,R5
STRESS_0107,A3,-0.1226742186,0.98,0.94,STRESS,R5
STRESS_0108,A2,0.002430703724,0.22,0.06,STRESS,R2
STRESS_0108,A3,0.01919716026,0.08,0.01,STRESS,R2
STRESS_0109,A2,0.007058796353,0.21,0.07,STRESS,R2
STRESS_0109,A3,0.02239169067,0.08,0.02,STRESS,R2
STRESS_0110,A2,0.007395767412,0.22,0.05,STRESS,R2
STRESS_0110,A3,0.0233167374,0.06,0,STRESS,R2
STRESS_0111,A2,0.004468319489,0.2,0.06,STRESS,R2
STRESS_0111,A3,0.02370778919,0.03,0,STRESS,R2
STRESS_0112,A2,8.938402461e-06,0.26,0.08,STRESS,R2
STRESS_0112,A3,0.02311738007,0.06,0.03,STRESS,R2
STRESS_0113,A2,0.002803062435,0.23,0.08,STRESS,R2
STRESS_0113,A3,0.01424502839,0.11,0.01,STRESS,R2
STRESS_0114,A2,0.006966491359,0.21,0.04,STRESS,R2
STRESS_0114,A3,0.026346367,0.02,0,STRESS,R2
STRESS_0115,A2,0.001392047272,0.23,0.04,STRESS,R2
STRESS_0115,A3,0.02126544248,0.06,0,STRESS,R2
STRESS_0116,A2,-0.0025363513,0.28,0.08,STRESS,R2
STRESS_0116,A3,0.01611181422,0.12,0,STRESS,R2
STRESS_0117,A2,0.00120017513,0.23,0.05,STRESS,R2
STRESS_0117,A3,0.01714685953,0.1,0.01,STRESS,R2
STRESS_0118,A2,0.0001589267669,0.28,0.07,STRESS,R2
STRESS_0118,A3,0.008513334052,0.12,0.02,STRESS,R2
STRESS_0119,A2,0.004598967417,0.29,0.06,STRESS,R2
STRESS_0119,A3,-0.002777722742,0.26,0.06,STRESS,R2
STRESS_0120,A2,-0.002941935371,0.28,0.11,STRESS,R2
STRESS_0120,A3,0.01644112843,0.06,0.01,STRESS,R2
STRESS_0121,A2,-0.003882399319,0.28,0.11,STRESS,R2
STRESS_0121,A3,0.006717206574,0.13,0.01,STRESS,R2
STRESS_0122,A2,0.002576897244,0.26,0.12,STRESS,R2
STRESS_0122,A3,-0.002821042515,0.23,0.06,STRESS,R2
STRESS_0123,A2,-0.002133416155,0.32,0.08,STRESS,R2
STRESS_0123,A3,0.01007194,0.17,0.04,STRESS,R2
STRESS_0124,A2,-0.002012939439,0.25,0.06,STRESS,R2
STRESS_0124,A3,0.006195463683,0.18,0.02,STRESS,R2
STRESS_0125,A2,-0.00086424272,0.23,0.06,STRESS,R2
STRESS_0125,A3,-0.009918296875,0.29,0.07,STRESS,R2
STRESS_0126,A2,0.03822312232,0.07,0.03,STRESS,R5
STRESS_0126,A3,-0.06014828139,0.97,0.63,STRESS,R5
STRESS_0127,A2,0.0409875391,0.08,0.02,STRESS,R5
STRESS_0127,A3,-0.05374004675,0.87,0.51,STRESS,R5
STRESS_0128,A2,0.03405705151,0.08,0.01,STRESS,R5
STRESS_0128,A3,-0.04524779546,0.86,0.37,STRESS,R5
STRESS_0129,A2,0.03276466866,0.1,0.04,STRESS,R5
STRESS_0129,A3,-0.05888087246,0.93,0.56,STRESS,R5
STRESS_0130,A2,0.04075718332,0.06,0,STRESS,R5
STRESS_0130,A3,-0.0518385809,0.9,0.51,STRESS,R5
STRESS_0131,A2,0.03947690996,0.09,0.01,STRESS,R5
STRESS_0131,A3,-0.03460459177,0.68,0.26,STRESS,R5
STRESS_0132,A2,0.02699707159,0.1,0.05,STRESS,R5
STRESS_0132,A3,-0.0655360522,0.96,0.63,STRESS,R5
STRESS_0133,A2,0.03214398306,0.13,0.04,STRESS,R5
STRESS_0133,A3,-0.04871398717,0.82,0.45,STRESS,R5
STRESS_0134,A2,0.03754274349,0.06,0.03,STRESS,R5
STRESS_0134,A3,-0.03519977185,0.71,0.3,STRESS,R5
STRESS_0135,A2,0.03345607938,0.12,0.04,STRESS,R5
STRESS_0135,A3,-0.0480091147,0.79,0.42,STRESS,R5
STRESS_0136,A2,0.0275754717,0.14,0.05,STRESS,R5
STRESS_0136,A3,-0.1012174744,1,0.92,STRESS,R5
STRESS_0137,A2,0.04046628524,0.06,0.01,STRESS,R5
STRESS_0137,A3,-0.1275860284,0.98,0.92,STRESS,R5
STRESS_0138,A2,0.02195457053,0.2,0.07,STRESS,R5
STRESS_0138,A3,-0.05040669389,0.85,0.46,STRESS,R5
STRESS_0139,A2,0.02560756045,0.14,0.06,STRESS,R5
STRESS_0139,A3,-0.100331124,0.99,0.89,STRESS,R5
STRESS_0140,A2,0.02883482338,0.14,0.03,STRESS,R5
STRESS_0140,A3,-0.1279730696,0.99,0.97,STRESS,R5
STRESS_0141,A2,0.01259861002,0.17,0.07,STRESS,R5
STRESS_0141,A3,-0.03541760976,0.73,0.26,STRESS,R5
STRESS_0142,A2,0.01042823515,0.27,0.09,STRESS,R5
STRESS_0142,A3,-0.08098953801,0.95,0.8,STRESS,R5
STRESS_0143,A2,0.008741046588,0.3,0.13,STRESS,R5
STRESS_0143,A3,-0.1107225984,0.97,0.87,STRESS,R5
STRESS_0144,A2,0.008998119353,0.14,0.03,STRESS,R2
STRESS_0144,A3,0.02080414854,0.07,0.01,STRESS,R2
STRESS_0145,A2,0.0001667719061,0.26,0.08,STRESS,R2
STRESS_0145,A3,0.01474416269,0.11,0,STRESS,R2
STRESS_0146,A2,0.001154174054,0.33,0.09,STRESS,R2
STRESS_0146,A3,0.01548824675,0.1,0,STRESS,R2
STRESS_0147,A2,0.004288794591,0.21,0.04,STRESS,R2
STRESS_0147,A3,0.02200499482,0.04,0,STRESS,R2
STRESS_0148,A2,0.001518602915,0.28,0.09,STRESS,R2
STRESS_0148,A3,0.01709655136,0.13,0,STRESS,R2
STRESS_0149,A2,0.008302873369,0.23,0.05,STRESS,R2
STRESS_0149,A3,0.01777547382,0.09,0.01,STRESS,R2
STRESS_0150,A2,0.007579473703,0.24,0.04,STRESS,R2
STRESS_0150,A3,0.02006199973,0.11,0,STRESS,R2
STRESS_0151,A2,0.002682149291,0.23,0.05,STRESS,R2
STRESS_0151,A3,0.01951987945,0.12,0,STRESS,R2
STRESS_0152,A2,0.001678725639,0.24,0.06,STRESS,R2
STRESS_0152,A3,0.01167665793,0.12,0,STRESS,R2
STRESS_0153,A2,0.004562362751,0.22,0.05,STRESS,R2
STRESS_0153,A3,0.01709061403,0.11,0.01,STRESS,R2
STRESS_0154,A2,0.00153907627,0.33,0.12,STRESS,R2
STRESS_0154,A3,0.004410147285,0.17,0.03,STRESS,R2
STRESS_0155,A2,0.001560499709,0.25,0.06,STRESS,R2
STRESS_0155,A3,-0.009031477071,0.38,0.07,STRESS,R2
STRESS_0156,A2,0.0009582566816,0.2,0.04,STRESS,R2
STRESS_0156,A3,0.01370723465,0.12,0.01,STRESS,R2
STRESS_0157,A2,-0.004306482744,0.32,0.12,STRESS,R2
STRESS_0157,A3,0.003589968791,0.17,0.02,STRESS,R2
STRESS_0158,A2,0.006979575404,0.22,0.03,STRESS,R2
STRESS_0158,A3,-0.007877377062,0.35,0.07,STRESS,R2
STRESS_0159,A2,-0.001453145332,0.27,0.11,STRESS,R2
STRESS_0159,A3,0.01066556709,0.17,0.02,STRESS,R2
STRESS_0160,A2,0.001175507924,0.29,0.05,STRESS,R2
STRESS_0160,A3,0.007124350434,0.16,0.01,STRESS,R2
STRESS_0161,A2,-0.003068254262,0.27,0.08,STRESS,R2
STRESS_0161,A3,-0.01005451142,0.37,0.09,STRESS,R2
STRESS_0162,A2,0.03677335794,0.06,0,STRESS,R5
STRESS_0162,A3,-0.05453415837,0.9,0.51,STRESS,R5
STRESS_0163,A2,0.03774346275,0.05,0,STRESS,R5
STRESS_0163,A3,-0.0406493174,0.78,0.35,STRESS,R5
STRESS_0164,A2,0.0293192954,0.09,0.01,STRESS,R5
STRESS_0164,A3,-0.04060634847,0.74,0.28,STRESS,R5
STRESS_0165,A2,0.02937571696,0.09,0.02,STRESS,R5
STRESS_0165,A3,-0.05782780642,0.95,0.59,STRESS,R5
STRESS_0166,A2,0.02775860299,0.13,0.02,STRESS,R5
STRESS_0166,A3,-0.04471912152,0.82,0.4,STRESS,R5
STRESS_0167,A2,0.03273279652,0.07,0.02,STRESS,R5
STRESS_0167,A3,-0.03675345342,0.69,0.29,STRESS,R5
STRESS_0168,A2,0.03362888961,0.06,0.01,STRESS,R5
STRESS_0168,A3,-0.05285009556,0.88,0.51,STRESS,R5
STRESS_0169,A2,0.03093180397,0.08,0.01,STRESS,R5
STRESS_0169,A3,-0.04989373695,0.83,0.46,STRESS,R5
STRESS_0170,A2,0.0246915381,0.1,0.03,STRESS,R5
STRESS_0170,A3,-0.03662040998,0.64,0.26,STRESS,R5
STRESS_0171,A2,0.03497166641,0.08,0.01,STRESS,R5
STRESS_0171,A3,-0.04176982606,0.76,0.39,STRESS,R5
STRESS_0172,A2,0.03382791078,0.07,0.01,STRESS,R5
STRESS_0172,A3,-0.09257901805,0.98,0.89,STRESS,R5
STRESS_0173,A2,0.03595061422,0.05,0.01,STRESS,R5
STRESS_0173,A3,-0.1229740883,1,0.96,STRESS,R5
STRESS_0174,A2,0.02829405864,0.09,0.02,STRESS,R5
STRESS_0174,A3,-0.04417990332,0.78,0.42,STRESS,R5
STRESS_0175,A2,0.01887729249,0.22,0.06,STRESS,R5
STRESS_0175,A3,-0.09305709762,0.99,0.86,STRESS,R5
STRESS_0176,A2,0.01924602715,0.16,0.05,STRESS,R5
STRESS_0176,A3,-0.1277066495,0.99,0.96,STRESS,R5
STRESS_0177,A2,0.003181735255,0.3,0.1,STRESS,R5
STRESS_0177,A3,-0.03621554029,0.71,0.25,STRESS,R5
STRESS_0178,A2,0.01015234545,0.2,0.09,STRESS,R5
STRESS_0178,A3,-0.08073715687,0.94,0.79,STRESS,R5
STRESS_0179,A2,0.006462587524,0.28,0.09,STRESS,R5
STRESS_0179,A3,-0.1147761362,0.99,0.94,STRESS,R5
